country.city,latitude,month.num,month,uv.index
Argentine (Buenos Aires),35øSÿ,1,Jan,9
Argentine (Buenos Aires),35øSÿ,2,Feb,9
Argentine (Buenos Aires),35øSÿ,3,Mar,7
Argentine (Buenos Aires),35øSÿ,4,Apr,4
Argentine (Buenos Aires),35øSÿ,5,May,3
Argentine (Buenos Aires),35øSÿ,6,Jun,2
Argentine (Buenos Aires),35øSÿ,7,Jul,2
Argentine (Buenos Aires),35øSÿ,8,Aug,4
Argentine (Buenos Aires),35øSÿ,9,Sep,5
Argentine (Buenos Aires),35øSÿ,10,Oct,7
Argentine (Buenos Aires),35øSÿ,11,Nov,9
Argentine (Buenos Aires),35øSÿ,12,Dec,10
Australia (Darwin),13øS,1,Jan,12
Australia (Darwin),13øS,2,Feb,13
Australia (Darwin),13øS,3,Mar,12
Australia (Darwin),13øS,4,Apr,10
Australia (Darwin),13øS,5,May,8
Australia (Darwin),13øS,6,Jun,8
Australia (Darwin),13øS,7,Jul,8
Australia (Darwin),13øS,8,Aug,10
Australia (Darwin),13øS,9,Sep,11
Australia (Darwin),13øS,10,Oct,13
Australia (Darwin),13øS,11,Nov,12
Australia (Darwin),13øS,12,Dec,12
